"file","n","hit","pct","miss"
"R/00-errors-validation.R",82,82,100,0
"R/adapters.R",29,29,100,0
"R/class-multisitedgp_data.R",142,135,95.1,7
"R/class-multisitedgp_design.R",147,133,90.5,14
"R/design_grid.R",47,45,95.7,2
"R/diagnostics-core.R",263,241,91.6,22
"R/layer1-effects-common.R",85,76,89.4,9
"R/layer1-gen_effects_ald.R",21,20,95.2,1
"R/layer1-gen_effects_dpm.R",12,12,100,0
"R/layer1-gen_effects_gaussian.R",10,10,100,0
"R/layer1-gen_effects_mixture.R",49,38,77.6,11
"R/layer1-gen_effects_pmslab.R",40,38,95,2
"R/layer1-gen_effects_skewn.R",22,21,95.5,1
"R/layer1-gen_effects_studentt.R",11,11,100,0
"R/layer1-gen_effects_user.R",40,38,95,2
"R/layer1-gen_effects.R",29,27,93.1,2
"R/layer2-diagnostics.R",73,72,98.6,1
"R/layer2-engine-a1.R",1,1,100,0
"R/layer2-engine-a2.R",42,36,85.7,6
"R/layer2-gen_se_direct.R",75,70,93.3,5
"R/layer2-gen_site_sizes.R",56,56,100,0
"R/layer3-align_copula_corr.R",43,41,95.3,2
"R/layer3-align_hybrid_corr.R",46,46,100,0
"R/layer3-align_rank_corr.R",73,69,94.5,4
"R/layer3-dependence-custom.R",31,29,93.5,2
"R/layer3-dependence-helpers.R",41,41,100,0
"R/layer4-gen_observations.R",40,39,97.5,1
"R/plots.R",76,68,89.5,8
"R/presets.R",22,22,100,0
"R/scenario_audit.R",126,111,88.1,15
"R/utils-reproducibility.R",126,114,90.5,12
"R/utils-rng.R",7,7,100,0
"R/wrapper-sim_meta.R",64,62,96.9,2
"R/wrapper-sim_multisite.R",81,78,96.3,3
