"nj_mean","cv","ok","warn","msg"
10,0.05,TRUE,0,""
25,0.05,TRUE,0,""
50,0.05,TRUE,0,""
100,0.05,TRUE,0,""
250,0.05,TRUE,0,""
1000,0.05,TRUE,0,""
10,0.1,TRUE,0,""
25,0.1,TRUE,0,""
50,0.1,TRUE,0,""
100,0.1,TRUE,0,""
250,0.1,TRUE,0,""
1000,0.1,TRUE,0,""
10,0.25,TRUE,0,""
25,0.25,TRUE,0,""
50,0.25,TRUE,0,""
100,0.25,TRUE,0,""
250,0.25,TRUE,0,""
1000,0.25,TRUE,0,""
10,0.4,TRUE,0,""
25,0.4,TRUE,0,""
50,0.4,TRUE,0,""
100,0.4,TRUE,0,""
250,0.4,TRUE,0,""
1000,0.4,TRUE,0,""
10,0.6,FALSE,0,"✖ Engine A2 truncated-Gamma post-solve verification failed."
25,0.6,TRUE,0,""
50,0.6,TRUE,0,""
100,0.6,TRUE,0,""
250,0.6,TRUE,0,""
1000,0.6,TRUE,0,""
10,0.8,FALSE,0,"✖ Engine A2 truncated-Gamma post-solve verification failed."
25,0.8,TRUE,0,""
50,0.8,TRUE,0,""
100,0.8,TRUE,0,""
250,0.8,TRUE,0,""
1000,0.8,TRUE,0,""
10,1,FALSE,0,"✖ Engine A2 truncated-Gamma post-solve verification failed."
25,1,TRUE,0,""
50,1,TRUE,0,""
100,1,TRUE,0,""
250,1,TRUE,0,""
1000,1,TRUE,0,""
10,1.3,FALSE,0,"✖ Engine A2 truncated-Gamma post-solve verification failed."
25,1.3,FALSE,0,"✖ Engine A2 truncated-Gamma post-solve verification failed."
50,1.3,TRUE,0,""
100,1.3,TRUE,0,""
250,1.3,TRUE,0,""
1000,1.3,TRUE,0,""
