"file","pct","hit","n","miss"
"R/scenario_audit.R",88.1,111,126,15
"R/layer1-effects-common.R",89.4,76,85,9
"R/class-multisitedgp_design.R",90.8,138,152,14
"R/diagnostics-core.R",91.6,241,263,22
"R/plots.R",93,107,115,8
"R/layer1-gen_effects.R",93.1,27,29,2
"R/layer2-gen_se_direct.R",93.3,70,75,5
"R/layer3-dependence-custom.R",93.5,29,31,2
"R/layer3-align_rank_corr.R",94.5,69,73,4
"R/layer2-diagnostics.R",95,95,100,5
"R/layer1-gen_effects_pmslab.R",95,38,40,2
"R/layer1-gen_effects_user.R",95,38,40,2
"R/layer1-gen_effects_ald.R",95.2,20,21,1
"R/layer3-align_copula_corr.R",95.3,41,43,2
"R/class-multisitedgp_data.R",95.5,150,157,7
"R/utils-reproducibility.R",95.5,128,134,6
"R/layer2-engine-a2.R",95.5,107,112,5
"R/layer1-gen_effects_skewn.R",95.5,21,22,1
"R/design_grid.R",95.7,45,47,2
"R/wrapper-sim_multisite.R",96.3,78,81,3
"R/wrapper-sim_meta.R",96.9,62,64,2
"R/layer4-gen_observations.R",97.5,39,40,1
"R/layer1-gen_effects_mixture.R",98,48,49,1
"R/00-errors-validation.R",100,82,82,0
"R/layer3-dependence-helpers.R",100,57,57,0
"R/layer2-gen_site_sizes.R",100,56,56,0
"R/layer3-align_hybrid_corr.R",100,50,50,0
"R/adapters.R",100,43,43,0
"R/presets.R",100,22,22,0
"R/layer2-engine-a1.R",100,13,13,0
"R/layer1-gen_effects_dpm.R",100,12,12,0
"R/layer1-gen_effects_studentt.R",100,11,11,0
"R/layer1-gen_effects_gaussian.R",100,10,10,0
"R/utils-rng.R",100,7,7,0
