"file","pct"
"R/layer1-gen_effects_ald.R",89.8
"R/layer1-gen_effects_skewn.R",90.74
"R/diagnostics-core.R",91.56
"R/layer2-engine-a2.R",91.84
"R/layer3-align_rank_corr.R",91.84
"R/layer4-gen_observations.R",91.94
"R/design_grid.R",92.21
"R/layer1-gen_effects_user.R",92.23
"R/layer3-align_copula_corr.R",92.77
"R/layer1-gen_effects_pmslab.R",93.41
"R/layer3-dependence-custom.R",94.05
"R/layer1-gen_effects.R",94.55
"R/wrapper-sim_meta.R",95.28
"R/class-multisitedgp_data.R",95.7
"R/wrapper-sim_multisite.R",95.91
"R/utils-reproducibility.R",96.02
"R/plots.R",96.55
"R/scenario_audit.R",97.84
"R/layer1-gen_effects_mixture.R",99.13
"R/layer1-effects-common.R",99.45
"R/class-multisitedgp_design.R",99.75
"R/00-errors-validation.R",100
"R/adapters.R",100
"R/layer1-gen_effects_dpm.R",100
"R/layer1-gen_effects_gaussian.R",100
"R/layer1-gen_effects_studentt.R",100
"R/layer2-diagnostics.R",100
"R/layer2-engine-a1.R",100
"R/layer2-gen_se_direct.R",100
"R/layer2-gen_site_sizes.R",100
"R/layer3-align_hybrid_corr.R",100
"R/layer3-dependence-helpers.R",100
"R/presets.R",100
"R/utils-rng.R",100
