"n_bar","cv","n_min","status"
10,0.005,1,"ok"
25,0.005,1,"ok"
50,0.005,1,"ok"
100,0.005,1,"ok"
250,0.005,1,"ok"
500,0.005,1,"ok"
10,0.01,1,"ok"
25,0.01,1,"ok"
50,0.01,1,"ok"
100,0.01,1,"ok"
250,0.01,1,"ok"
500,0.01,1,"ok"
10,0.02,1,"ok"
25,0.02,1,"ok"
50,0.02,1,"ok"
100,0.02,1,"ok"
250,0.02,1,"ok"
500,0.02,1,"ok"
10,0.05,1,"ok"
25,0.05,1,"ok"
50,0.05,1,"ok"
100,0.05,1,"ok"
250,0.05,1,"ok"
500,0.05,1,"ok"
10,0.1,1,"ok"
25,0.1,1,"ok"
50,0.1,1,"ok"
100,0.1,1,"ok"
250,0.1,1,"ok"
500,0.1,1,"ok"
10,0.2,1,"ok"
25,0.2,1,"ok"
50,0.2,1,"ok"
100,0.2,1,"ok"
250,0.2,1,"ok"
500,0.2,1,"ok"
10,0.35,1,"ok"
25,0.35,1,"ok"
50,0.35,1,"ok"
100,0.35,1,"ok"
250,0.35,1,"ok"
500,0.35,1,"ok"
10,0.5,1,"ok"
25,0.5,1,"ok"
50,0.5,1,"ok"
100,0.5,1,"ok"
250,0.5,1,"ok"
500,0.5,1,"ok"
10,0.8,1,"ok"
25,0.8,1,"ok"
50,0.8,1,"ok"
100,0.8,1,"ok"
250,0.8,1,"ok"
500,0.8,1,"ok"
10,1.2,1,"ok"
25,1.2,1,"ok"
50,1.2,1,"ok"
100,1.2,1,"ok"
250,1.2,1,"ok"
500,1.2,1,"ok"
10,0.005,5,"ok"
25,0.005,5,"ok"
50,0.005,5,"ok"
100,0.005,5,"ok"
250,0.005,5,"ok"
500,0.005,5,"ok"
10,0.01,5,"ok"
25,0.01,5,"ok"
50,0.01,5,"ok"
100,0.01,5,"ok"
250,0.01,5,"ok"
500,0.01,5,"ok"
10,0.02,5,"ok"
25,0.02,5,"ok"
50,0.02,5,"ok"
100,0.02,5,"ok"
250,0.02,5,"ok"
500,0.02,5,"ok"
10,0.05,5,"ok"
25,0.05,5,"ok"
50,0.05,5,"ok"
100,0.05,5,"ok"
250,0.05,5,"ok"
500,0.05,5,"ok"
10,0.1,5,"ok"
25,0.1,5,"ok"
50,0.1,5,"ok"
100,0.1,5,"ok"
250,0.1,5,"ok"
500,0.1,5,"ok"
10,0.2,5,"ok"
25,0.2,5,"ok"
50,0.2,5,"ok"
100,0.2,5,"ok"
250,0.2,5,"ok"
500,0.2,5,"ok"
10,0.35,5,"ok"
25,0.35,5,"ok"
50,0.35,5,"ok"
100,0.35,5,"ok"
250,0.35,5,"ok"
500,0.35,5,"ok"
10,0.5,5,"ok"
25,0.5,5,"ok"
50,0.5,5,"ok"
100,0.5,5,"ok"
250,0.5,5,"ok"
500,0.5,5,"ok"
10,0.8,5,"abort"
25,0.8,5,"ok"
50,0.8,5,"ok"
100,0.8,5,"ok"
250,0.8,5,"ok"
500,0.8,5,"ok"
10,1.2,5,"abort"
25,1.2,5,"abort"
50,1.2,5,"ok"
100,1.2,5,"ok"
250,1.2,5,"ok"
500,1.2,5,"ok"
