"filename","line_number","column_number","linter"
"R/multisitedgp-package.R",74,121,"line_length_linter"
"R/multisitedgp-package.R",83,121,"line_length_linter"
"R/multisitedgp-package.R",84,121,"line_length_linter"
"R/multisitedgp-package.R",85,121,"line_length_linter"
"R/multisitedgp-package.R",86,121,"line_length_linter"
"R/multisitedgp-package.R",98,121,"line_length_linter"
"R/multisitedgp-package.R",99,121,"line_length_linter"
"R/multisitedgp-package.R",100,121,"line_length_linter"
"R/multisitedgp-package.R",101,121,"line_length_linter"
"R/multisitedgp-package.R",103,121,"line_length_linter"
"R/multisitedgp-package.R",104,121,"line_length_linter"
"vignettes/a1-getting-started.Rmd",89,3,"commented_code_linter"
"vignettes/a3-diagnostics-in-practice.Rmd",142,1,"object_name_linter"
"vignettes/a3-diagnostics-in-practice.Rmd",160,1,"object_name_linter"
"vignettes/a3-diagnostics-in-practice.Rmd",436,1,"object_name_linter"
"vignettes/a4-covariates-precision-dependence.Rmd",111,2,"indentation_linter"
"vignettes/a5-calibrating-real-data.Rmd",202,1,"object_name_linter"
"vignettes/a5-calibrating-real-data.Rmd",208,1,"object_name_linter"
"vignettes/a8-cookbook.Rmd",342,27,"infix_spaces_linter"
"vignettes/a8-cookbook.Rmd",343,24,"infix_spaces_linter"
"vignettes/a8-cookbook.Rmd",343,29,"infix_spaces_linter"
"vignettes/a8-cookbook.Rmd",405,27,"infix_spaces_linter"
"vignettes/a8-cookbook.Rmd",496,52,"infix_spaces_linter"
"vignettes/a8-cookbook.Rmd",588,3,"brace_linter"
"vignettes/a8-cookbook.Rmd",627,5,"brace_linter"
"vignettes/a8-cookbook.Rmd",690,5,"brace_linter"
"vignettes/m1-statistical-dgp.Rmd",154,1,"object_name_linter"
"vignettes/m1-statistical-dgp.Rmd",166,1,"object_name_linter"
"vignettes/m1-statistical-dgp.Rmd",196,33,"infix_spaces_linter"
"vignettes/m1-statistical-dgp.Rmd",196,41,"infix_spaces_linter"
"vignettes/m1-statistical-dgp.Rmd",466,7,"semicolon_linter"
"vignettes/m1-statistical-dgp.Rmd",466,15,"semicolon_linter"
"vignettes/m1-statistical-dgp.Rmd",479,26,"infix_spaces_linter"
"vignettes/m1-statistical-dgp.Rmd",480,35,"brace_linter"
"vignettes/m1-statistical-dgp.Rmd",480,38,"infix_spaces_linter"
"vignettes/m2-g-distribution-catalog.Rmd",739,26,"infix_spaces_linter"
"vignettes/m2-g-distribution-catalog.Rmd",812,31,"infix_spaces_linter"
"vignettes/m3-margin-se-models.Rmd",168,1,"object_name_linter"
"vignettes/m3-margin-se-models.Rmd",264,1,"object_name_linter"
"vignettes/m3-margin-se-models.Rmd",279,1,"object_name_linter"
"vignettes/m3-margin-se-models.Rmd",353,1,"object_name_linter"
"vignettes/m3-margin-se-models.Rmd",354,1,"object_name_linter"
"vignettes/m3-margin-se-models.Rmd",355,1,"object_name_linter"
"vignettes/m3-margin-se-models.Rmd",379,24,"infix_spaces_linter"
"vignettes/m3-margin-se-models.Rmd",380,35,"brace_linter"
"vignettes/m3-margin-se-models.Rmd",380,38,"infix_spaces_linter"
"vignettes/m3-margin-se-models.Rmd",421,1,"object_name_linter"
"vignettes/m3-margin-se-models.Rmd",422,1,"object_name_linter"
"vignettes/m3-margin-se-models.Rmd",423,1,"object_name_linter"
"vignettes/m3-margin-se-models.Rmd",424,1,"object_name_linter"
"vignettes/m3-margin-se-models.Rmd",425,1,"object_name_linter"
"vignettes/m3-margin-se-models.Rmd",426,1,"object_name_linter"
"vignettes/m3-margin-se-models.Rmd",427,1,"object_name_linter"
"vignettes/m3-margin-se-models.Rmd",428,1,"object_name_linter"
"vignettes/m3-margin-se-models.Rmd",459,42,"brace_linter"
"vignettes/m3-margin-se-models.Rmd",459,45,"infix_spaces_linter"
"vignettes/m3-margin-se-models.Rmd",530,1,"object_name_linter"
"vignettes/m4-precision-dependence-theory.Rmd",474,24,"infix_spaces_linter"
"vignettes/m4-precision-dependence-theory.Rmd",475,36,"infix_spaces_linter"
"vignettes/m4-precision-dependence-theory.Rmd",488,24,"infix_spaces_linter"
"vignettes/m4-precision-dependence-theory.Rmd",489,36,"infix_spaces_linter"
"vignettes/m4-precision-dependence-theory.Rmd",502,24,"infix_spaces_linter"
"vignettes/m4-precision-dependence-theory.Rmd",503,36,"infix_spaces_linter"
"vignettes/m5-custom-g-distributions.Rmd",423,31,"infix_spaces_linter"
"vignettes/m5-custom-g-distributions.Rmd",440,33,"infix_spaces_linter"
