"n_bar","cv","n_min","alpha","emp","pred","ratio","fixed_tol_ok"
50,0.002,5,250000.286859957,5.82059600005014e-05,7.93060705713245e-05,0.733940788910395,FALSE
100,0.002,5,249994.583384373,0.000116407986831213,7.9304102987973e-05,1.46786840081738,FALSE
250,0.002,5,250001.306903201,0.000106807053658176,7.93064224659272e-05,1.3467642384709,FALSE
50,0.005,5,39999.8279361309,4.65659856696554e-06,1.70467722893816e-06,2.73165998108987,FALSE
100,0.005,5,40000.0094073244,2.6520817427711e-06,1.70468576869068e-06,1.55575988928921,FALSE
250,0.005,5,40000.0106548621,1.48784876852215e-06,1.70468582739788e-06,0.872799400692664,FALSE
50,0.01,5,10000.0005232327,1.45533715856239e-07,9.11490020300744e-08,1.59665726025415,TRUE
100,0.01,5,9999.99684779017,1.45520951289058e-07,9.11489644469244e-08,1.59651787787226,TRUE
250,0.01,5,9999.99994973416,1.45518581851078e-07,9.11489961657789e-08,1.596491327084,TRUE
50,0.05,5,399.999999990666,9.12039332945369e-11,8.85740029490477e-11,1.02969189895372,TRUE
100,0.05,5,400.000000053142,1.85464310575867e-10,8.85740029656674e-11,2.0938910331032,TRUE
250,0.05,5,400.000000067721,9.4925067806173e-11,8.85740029695458e-11,1.07170348661797,TRUE
50,0.1,5,99.9999999987356,1.00044417195022e-11,3.98719063725305e-12,2.50914556881953,TRUE
100,0.1,5,99.9999999988894,5.6843418860808e-12,3.9871906372609e-12,1.42565089137193,TRUE
250,0.1,5,99.9999999992035,5.74518210783026e-12,3.98719063727694e-12,1.44090981106284,TRUE
50,0.25,5,15.9999999956101,1.51212375953946e-13,4.95590615155948e-14,3.0511549518823,TRUE
100,0.25,5,15.9999999999984,1.02584607475364e-13,4.95590615369618e-14,2.06994653034048,TRUE
250,0.25,5,15.9999999999995,1.21902488103842e-13,4.9559061536967e-14,2.45974165618356,TRUE
50,0.5,5,3.98657130430777,1.82076576038526e-14,7.88221519409059e-16,23.0996707848107,TRUE
100,0.5,5,3.99894963580879,2.22044604925031e-14,7.95115193592812e-16,27.9260925604628,TRUE
250,0.5,5,3.99996899217168,2.53130849614536e-14,7.95683749947203e-16,31.8129972657268,TRUE
50,0.8,5,1.39273157190236,1.75415237890775e-14,-2.06674255296535e-17,-848.752243665231,TRUE
100,0.8,5,1.50786828708933,2.39808173319034e-14,-2.08975639454468e-17,-1147.54128253922,TRUE
250,0.8,5,1.5497199163525,2.67563748934663e-14,-2.04400973111204e-17,-1309.01406613703,TRUE
