"fixture_id","fixture_file","fixture_type","seed","source_call","source_policy","generator","storage_path","object_class","nrow","ncol","hash_algo","hash_schema_version","canonical_hash","source_canonical_hash","stored_provenance_hash","stored_provenance_hash_matches","rds_sha256","package_version","rng_kind","rng_policy","source_revision","source_worktree_clean","generator_sha256","generated_R_version","generated_platform","package_versions","os_policy"
"F01","jebs_appendix_mixture_seed42.rds","JEBS appendix seed",42,"Lee 2024 JEBS appendix normalized output, seed = 42","direct appendix-code reproduction; plain canonical data frame","tests/data-raw/generate_golden_fixtures.R","tests/testthat/_snaps/golden/jebs_appendix_mixture_seed42.rds","data.frame",100,7,"xxhash64","multisiteDGP-canonical-hash-v4","c31014f843a93562","c31014f843a93562",NA,NA,"235ad3556b2695097a59f5385bd0afa7c1661423846cd84e0e86c78b7e350938","0.2.0","Mersenne-Twister/Inversion/Rejection","generator-pinned","efb7ff4c7a1938eb25094cf1cfb3c989a223d33e",FALSE,"dcfe9bba1f6b479ebf514c54c03741036b8d47055b1a8c9d48897f84fe10d684","R version 4.6.0 (2026-04-24)","aarch64-apple-darwin23","digest=0.6.39; tibble=3.3.1; withr=3.0.3","portable schema-v4 canonical numerical hash; binary SHA verifies only the checked-in artifact"
"F02","jebs_appendix_mixture_seed1.rds","JEBS appendix seed",1,"Lee 2024 JEBS appendix normalized output, seed = 1","direct appendix-code reproduction; plain canonical data frame","tests/data-raw/generate_golden_fixtures.R","tests/testthat/_snaps/golden/jebs_appendix_mixture_seed1.rds","data.frame",100,7,"xxhash64","multisiteDGP-canonical-hash-v4","d1f0d5f2d973b31e","d1f0d5f2d973b31e",NA,NA,"94deb50f78887d6540cfce72e3428d4e49cc18c6f3e9f4945cfa5e484c6048c7","0.2.0","Mersenne-Twister/Inversion/Rejection","generator-pinned","efb7ff4c7a1938eb25094cf1cfb3c989a223d33e",FALSE,"dcfe9bba1f6b479ebf514c54c03741036b8d47055b1a8c9d48897f84fe10d684","R version 4.6.0 (2026-04-24)","aarch64-apple-darwin23","digest=0.6.39; tibble=3.3.1; withr=3.0.3","portable schema-v4 canonical numerical hash; binary SHA verifies only the checked-in artifact"
"F03","jebs_appendix_mixture_seed2024.rds","JEBS appendix seed",2024,"Lee 2024 JEBS appendix normalized output, seed = 2024","direct appendix-code reproduction; plain canonical data frame","tests/data-raw/generate_golden_fixtures.R","tests/testthat/_snaps/golden/jebs_appendix_mixture_seed2024.rds","data.frame",100,7,"xxhash64","multisiteDGP-canonical-hash-v4","5fd08a6c096d90c2","5fd08a6c096d90c2",NA,NA,"de0421f56099aa636d9d8bef94c6a37e044cde719d355d5ec299e75229bd0378","0.2.0","Mersenne-Twister/Inversion/Rejection","generator-pinned","efb7ff4c7a1938eb25094cf1cfb3c989a223d33e",FALSE,"dcfe9bba1f6b479ebf514c54c03741036b8d47055b1a8c9d48897f84fe10d684","R version 4.6.0 (2026-04-24)","aarch64-apple-darwin23","digest=0.6.39; tibble=3.3.1; withr=3.0.3","portable schema-v4 canonical numerical hash; binary SHA verifies only the checked-in artifact"
"F04","jebs_appendix_mixture_seed12345.rds","JEBS appendix seed",12345,"Lee 2024 JEBS appendix normalized output, seed = 12345","direct appendix-code reproduction; plain canonical data frame","tests/data-raw/generate_golden_fixtures.R","tests/testthat/_snaps/golden/jebs_appendix_mixture_seed12345.rds","data.frame",100,7,"xxhash64","multisiteDGP-canonical-hash-v4","52452ee14c86f6cf","52452ee14c86f6cf",NA,NA,"657f9f2d5513d4ae8e37087d5e955635b523deb58399c0cb5689f65043c7afd9","0.2.0","Mersenne-Twister/Inversion/Rejection","generator-pinned","efb7ff4c7a1938eb25094cf1cfb3c989a223d33e",FALSE,"dcfe9bba1f6b479ebf514c54c03741036b8d47055b1a8c9d48897f84fe10d684","R version 4.6.0 (2026-04-24)","aarch64-apple-darwin23","digest=0.6.39; tibble=3.3.1; withr=3.0.3","portable schema-v4 canonical numerical hash; binary SHA verifies only the checked-in artifact"
"F05","preset_jebs_paper.rds","preset output",4719,"preset_jebs_paper() |> sim_multisite(seed = 4719)","package preset output with full multisiteDGP attributes","tests/data-raw/generate_golden_fixtures.R","tests/testthat/_snaps/golden/preset_jebs_paper.rds","multisitedgp_data/tbl_df/tbl/data.frame",50,7,"xxhash64","multisiteDGP-canonical-hash-v4","1cb59345862bc1f8","1cb59345862bc1f8","1cb59345862bc1f8",TRUE,"e9bcdfecaed6138371781a778f9fa7e99a0464e5a01b59eaebb0212b0606d7f6","0.2.0","Mersenne-Twister/Inversion/Rejection","package-pinned","efb7ff4c7a1938eb25094cf1cfb3c989a223d33e",FALSE,"dcfe9bba1f6b479ebf514c54c03741036b8d47055b1a8c9d48897f84fe10d684","R version 4.6.0 (2026-04-24)","aarch64-apple-darwin23","digest=0.6.39; tibble=3.3.1; withr=3.0.3","portable schema-v4 canonical numerical hash; binary SHA verifies only the checked-in artifact"
"F06","preset_jebs_strict.rds","preset output",4719,"preset_jebs_strict() |> sim_multisite(seed = 4719)","package preset output with full multisiteDGP attributes","tests/data-raw/generate_golden_fixtures.R","tests/testthat/_snaps/golden/preset_jebs_strict.rds","multisitedgp_data/tbl_df/tbl/data.frame",100,7,"xxhash64","multisiteDGP-canonical-hash-v4","a78c2d7fd87dfbeb","a78c2d7fd87dfbeb","a78c2d7fd87dfbeb",TRUE,"e23c63d1aba538d4f11df148be783532e9bf07e444175a0baeb06b2ecec0e18d","0.2.0","Mersenne-Twister/Inversion/Rejection","package-pinned","efb7ff4c7a1938eb25094cf1cfb3c989a223d33e",FALSE,"dcfe9bba1f6b479ebf514c54c03741036b8d47055b1a8c9d48897f84fe10d684","R version 4.6.0 (2026-04-24)","aarch64-apple-darwin23","digest=0.6.39; tibble=3.3.1; withr=3.0.3","portable schema-v4 canonical numerical hash; binary SHA verifies only the checked-in artifact"
"F07","preset_education_modest.rds","preset output",12345,"preset_education_modest() |> sim_multisite(seed = 12345)","package preset output with full multisiteDGP attributes","tests/data-raw/generate_golden_fixtures.R","tests/testthat/_snaps/golden/preset_education_modest.rds","multisitedgp_data/tbl_df/tbl/data.frame",50,7,"xxhash64","multisiteDGP-canonical-hash-v4","28c5d657a592eb25","28c5d657a592eb25","28c5d657a592eb25",TRUE,"5d6c880d4c829cb4eb283e3d91cf22c2af32d679d74557e96d1b29958a7507d4","0.2.0","Mersenne-Twister/Inversion/Rejection","package-pinned","efb7ff4c7a1938eb25094cf1cfb3c989a223d33e",FALSE,"dcfe9bba1f6b479ebf514c54c03741036b8d47055b1a8c9d48897f84fe10d684","R version 4.6.0 (2026-04-24)","aarch64-apple-darwin23","digest=0.6.39; tibble=3.3.1; withr=3.0.3","portable schema-v4 canonical numerical hash; binary SHA verifies only the checked-in artifact"
"F08","preset_walters_2024.rds","preset output",1,"preset_walters_2024() |> sim_multisite(seed = 1)","package preset output with full multisiteDGP attributes","tests/data-raw/generate_golden_fixtures.R","tests/testthat/_snaps/golden/preset_walters_2024.rds","multisitedgp_data/tbl_df/tbl/data.frame",46,7,"xxhash64","multisiteDGP-canonical-hash-v4","99dbcb60d395c33b","99dbcb60d395c33b","99dbcb60d395c33b",TRUE,"a14934257b182f961411b39d7b56e3cedb3c3756af2cf2ce8bad41faff4c9f97","0.2.0","Mersenne-Twister/Inversion/Rejection","package-pinned","efb7ff4c7a1938eb25094cf1cfb3c989a223d33e",FALSE,"dcfe9bba1f6b479ebf514c54c03741036b8d47055b1a8c9d48897f84fe10d684","R version 4.6.0 (2026-04-24)","aarch64-apple-darwin23","digest=0.6.39; tibble=3.3.1; withr=3.0.3","portable schema-v4 canonical numerical hash; binary SHA verifies only the checked-in artifact"
"F09","preset_small_area_estimation.rds","preset output",42,"preset_small_area_estimation() |> sim_meta(seed = 42)","package preset output with full multisiteDGP attributes","tests/data-raw/generate_golden_fixtures.R","tests/testthat/_snaps/golden/preset_small_area_estimation.rds","multisitedgp_meta/multisitedgp_data/tbl_df/tbl/data.frame",30,7,"xxhash64","multisiteDGP-canonical-hash-v4","fe3e4045dad296b9","fe3e4045dad296b9","fe3e4045dad296b9",TRUE,"78f6ef0984f331260c52205259e0a4772bc472758aa4410be911b41c937615fe","0.2.0","Mersenne-Twister/Inversion/Rejection","package-pinned","efb7ff4c7a1938eb25094cf1cfb3c989a223d33e",FALSE,"dcfe9bba1f6b479ebf514c54c03741036b8d47055b1a8c9d48897f84fe10d684","R version 4.6.0 (2026-04-24)","aarch64-apple-darwin23","digest=0.6.39; tibble=3.3.1; withr=3.0.3","portable schema-v4 canonical numerical hash; binary SHA verifies only the checked-in artifact"
"F10","jebs_appendix_floor_active_seed42.rds","JEBS appendix floor-active authority",42,"Lee 2024 JEBS appendix normalized output, J = 300, nj_mean = 10, cv = 0.75, nj_min = 5, seed = 42","paper floor n_j = 5; floor-active raw seven-column authority","tests/data-raw/generate_golden_fixtures.R","tests/testthat/_snaps/golden/jebs_appendix_floor_active_seed42.rds","data.frame",300,7,"xxhash64","multisiteDGP-canonical-hash-v4","bb408a704f3555ff","bb408a704f3555ff",NA,NA,"b7b0d4da70524558618ec8e924258c2c971230f5099f9cc8c217ad0b488c37f3","0.2.0","Mersenne-Twister/Inversion/Rejection","generator-pinned","efb7ff4c7a1938eb25094cf1cfb3c989a223d33e",FALSE,"dcfe9bba1f6b479ebf514c54c03741036b8d47055b1a8c9d48897f84fe10d684","R version 4.6.0 (2026-04-24)","aarch64-apple-darwin23","digest=0.6.39; tibble=3.3.1; withr=3.0.3","portable schema-v4 canonical numerical hash; binary SHA verifies only the checked-in artifact"
