"id","condition","class","active_v0_2","api","remedy","status"
"E01","J less than 10","multisitedgp_arg_error","yes","multisitedgp_design()","Use integer J >= 10.","validator-implemented"
"E02","sigma_tau nonpositive","multisitedgp_arg_error","yes","multisitedgp_design()","Use sigma_tau >= 0; use 0 only for a degenerate no-heterogeneity design.","validator-implemented"
"E03","nj_mean less than nj_min or nonzero-cv equality","multisitedgp_arg_error","yes","multisitedgp_design(); gen_site_sizes()","Use nj_mean > nj_min, except cv = 0 may use equality.","validator-implemented"
"E04","Engine A1 with dependence not none","multisitedgp_engine_dependence_error","yes","multisitedgp_design(); sim_multisite()","Use A1_legacy with dependence = 'none', or switch to A2_modern.","validator-implemented"
"E05","sim_meta receives Paradigm A args","multisitedgp_coherence_error","yes","sim_meta()","Remove site-size arguments and specify the direct path with I and R.","validator-implemented"
"E06","g_fn with true_dist not User or DPM","multisitedgp_coherence_error","yes","multisitedgp_design(); gen_effects()","Use true_dist = 'User' (or bridged 'DPM') when supplying g_fn.","validator-implemented"
"E07","theta_G nu missing for StudentT","multisitedgp_arg_error","yes","gen_effects(); gen_effects_studentt()","Pass theta_G = list(nu = value) with nu > 2.","validator-implemented"
"E08","rank_corr and pearson_corr both non-default","multisitedgp_arg_error","yes","multisitedgp_design()","Use one target scale: rank_corr or pearson_corr, not both.","validator-implemented"
"E09","sim_meta wrong-door Paradigm A args","multisitedgp_coherence_error","yes","sim_meta()","Use sim_multisite() for nj_mean/cv/nj_min or remove those arguments.","implemented"
"E10","sim_multisite receives I","multisitedgp_coherence_error","yes","sim_multisite()","Use sim_meta() for I/R designs, or remove I from sim_multisite().","snapshot-implemented"
"E11","sim_meta missing I","multisitedgp_arg_error","yes","sim_meta()","Pass I in (0, 1) to sim_meta().","implemented"
"E12","ALD rho out of range","multisitedgp_arg_error","yes","gen_effects_ald()","Use ALD rho strictly inside (0.05, 0.95).","implemented"
"E13","Student-t nu <= 2","multisitedgp_arg_error","yes","gen_effects_studentt()","Use Student-t nu > 2.","implemented"
"E14","gen_effects_user callback wrong length","multisitedgp_arg_error","yes","gen_effects_user()","Use a g_fn that returns a finite numeric vector of exactly length J.","implemented"
"E15","Engine A2 truncated-Gamma solver nonconvergence","multisitedgp_solver_error","yes","gen_site_sizes()","Use a design inside the A2 feasible region; do not bypass failed moment verification.","implemented"
"E16","gen_se_direct I out of range","multisitedgp_arg_error","yes","gen_se_direct()","Use I strictly between 0 and 1.","implemented"
"E17","Hill-climb sign gate failure","multisitedgp_dependence_solver_error","yes","align_rank_corr()","Use a feasible target/tolerance, more variable margins, or dependence = 'none'.","snapshot-implemented"
"E18","gen_observations obs_fn wrong length","multisitedgp_arg_error","yes","gen_observations()","Use an obs_fn that returns a finite numeric vector of exactly length J.","implemented"
"E19","sn package missing for SkewN","multisitedgp_arg_error","yes","gen_effects_skewn()","Use install.packages('sn'), or choose another shape.","implemented"
"E20","LaplacesDemon package missing for ALD","multisitedgp_arg_error","yes","gen_effects_ald()","Use install.packages('LaplacesDemon'), or choose another shape.","implemented"
"E21","pi0 boundary for PointMassSlab","multisitedgp_arg_error","yes","gen_effects_pmslab()","Use pi0 strictly between 0 and 1.","implemented"
"E22","DPM stub not silent","multisitedgp_arg_error","yes","gen_effects(); gen_effects_dpm()","Use true_dist = 'User' with g_fn, or pass a g_fn bridge to the reserved DPM route.","implemented"
"E23","target_marginal_rho v1 abort","multisitedgp_arg_error","yes","multisitedgp_design()","Use target_marginal_rho = NULL in v0.2.0.","validator-implemented"
"E24","PSD compatibility violation deferred","multisitedgp_arg_error","no","reserved v2 PSD validator","Use this row only as a reserved marker; re-evaluate it when the marginal-target API is implemented.","planned"
"E25","user dependence_fn marginal violation","multisitedgp_marginal_violation_error","yes","align_rank_corr(); align_hybrid_corr()","Use a dependence_fn that returns an exact permutation of the upstream precision multiset.","implemented"
"E26","metafor missing","multisitedgp_arg_error","yes","as_metafor()","Use install.packages('metafor') before an adapter path that requires it.","implemented"
"E27","baggr missing","multisitedgp_arg_error","yes","as_baggr()","Use install.packages('baggr') before an adapter path that requires it.","implemented"
"E28","feasibility_index returns FAIL","warn-not-abort","yes","feasibility_index()","Try increasing site information/J or reconsider partial pooling; this ID is a warning, not an abort.","implemented"
"E29","se_fn plus paradigm site_size","multisitedgp_coherence_error","yes","multisitedgp_design()","Use paradigm = 'direct' with se_fn, or remove se_fn from a site-size design.","validator-implemented"
"E30","adapter reserved column collision","multisitedgp_arg_error","yes","as_metafor(); as_baggr(); as_multisitepower()","Remove or rename input columns reserved by the target adapter before conversion.","implemented"
