"fixture_id","seed","fixture_file","fixture_type","J","tau","sigma_tau","true_dist","delta","eps","ups","nj_mean","cv","nj_min","p","R2","engine","dependence","status","seed_policy","qmd_demo_seed_policy","rng_sequence_expected","nj_min_policy","source_qmd","source_qmd_sha256","source_mixture_lines","source_site_size_lines","source_observation_lines","source_functions","generation_script","output_schema","hash_algo","hash_schema_version","rng_kind","rng_policy","generator_sha256","component_tau_hash","component_site_size_hash","component_observed_raw_hash","canonical_hash","rds_sha256","generated_R_version","generated_platform","package_versions","os_policy"
"F01",42,"jebs_appendix_mixture_seed42.rds","JEBS appendix A1 mixture package-normalized",100,0,0.15,"Mixture",5,0.3,2,80,0.5,5,0.5,0,"A1_legacy","none","manifest-hash-recorded","single_stream_package_T1a","stage_reset_seed_2562_before_each_stage","runif(J) -> rnorm(J) component_1 -> rnorm(J) component_2 -> rgamma(J) -> sample.int(J) shuffle -> rnorm(1) repeated J times","paper and JEBS appendix lower limit: n_j = 5","/Users/joonholee/Documents/00_IES Multisite Trial Project/dev/Bayes-deconvolution/posts/2024-01-21_JEBS_Software_Appendix/2024-01-21_JEBS_Software_Appendix_E.qmd","5f600e0d09fac45f2a2a1bae10615dcfaceab736866f127aa54acd0353fd400b","62-78","101-128","141-154","gen_priorG_mixture; gen_nj_se2j_vec_gamma; gen_tau_j_hat","/Users/joonholee/Documents/00_IES Multisite Trial Project/multisiteDGP-R-package/tools/jebs-golden-fixtures/generate-jebs-golden-fixtures.R","site_index,z_j,tau_j,n_j,se2_j,se_j,tau_j_hat","xxhash64","multisiteDGP-canonical-hash-v4","Mersenne-Twister/Inversion/Rejection","generator-pinned","bdb574f04efb50df6b2546078936cdd8471551a4a200e629b2d198c421372219","03f54c2f0e8b1063","e8299b509df84091","0313c3cae1804aef","c31014f843a93562","22bf892f66701ed844ecffb714bcd40020558cb18738d86e1052887f2258f542","R version 4.6.0 (2026-04-24)","aarch64-apple-darwin23","digest=0.6.39; tibble=3.3.1; withr=3.0.3","portable schema-v4 canonical numerical hash; binary SHA verifies only the generated artifact"
"F02",1,"jebs_appendix_mixture_seed1.rds","JEBS appendix A1 mixture package-normalized",100,0,0.15,"Mixture",5,0.3,2,80,0.5,5,0.5,0,"A1_legacy","none","manifest-hash-recorded","single_stream_package_T1a","stage_reset_seed_2562_before_each_stage","runif(J) -> rnorm(J) component_1 -> rnorm(J) component_2 -> rgamma(J) -> sample.int(J) shuffle -> rnorm(1) repeated J times","paper and JEBS appendix lower limit: n_j = 5","/Users/joonholee/Documents/00_IES Multisite Trial Project/dev/Bayes-deconvolution/posts/2024-01-21_JEBS_Software_Appendix/2024-01-21_JEBS_Software_Appendix_E.qmd","5f600e0d09fac45f2a2a1bae10615dcfaceab736866f127aa54acd0353fd400b","62-78","101-128","141-154","gen_priorG_mixture; gen_nj_se2j_vec_gamma; gen_tau_j_hat","/Users/joonholee/Documents/00_IES Multisite Trial Project/multisiteDGP-R-package/tools/jebs-golden-fixtures/generate-jebs-golden-fixtures.R","site_index,z_j,tau_j,n_j,se2_j,se_j,tau_j_hat","xxhash64","multisiteDGP-canonical-hash-v4","Mersenne-Twister/Inversion/Rejection","generator-pinned","bdb574f04efb50df6b2546078936cdd8471551a4a200e629b2d198c421372219","aac9a96de4fc1d38","735a20b23ba024c8","ae70248de7a04b29","d1f0d5f2d973b31e","30f1ca1de16a534a5fa72aec2e599603fe46eaadfe72fcfe0b0e8d48cd1013fa","R version 4.6.0 (2026-04-24)","aarch64-apple-darwin23","digest=0.6.39; tibble=3.3.1; withr=3.0.3","portable schema-v4 canonical numerical hash; binary SHA verifies only the generated artifact"
"F03",2024,"jebs_appendix_mixture_seed2024.rds","JEBS appendix A1 mixture package-normalized",100,0,0.15,"Mixture",5,0.3,2,80,0.5,5,0.5,0,"A1_legacy","none","manifest-hash-recorded","single_stream_package_T1a","stage_reset_seed_2562_before_each_stage","runif(J) -> rnorm(J) component_1 -> rnorm(J) component_2 -> rgamma(J) -> sample.int(J) shuffle -> rnorm(1) repeated J times","paper and JEBS appendix lower limit: n_j = 5","/Users/joonholee/Documents/00_IES Multisite Trial Project/dev/Bayes-deconvolution/posts/2024-01-21_JEBS_Software_Appendix/2024-01-21_JEBS_Software_Appendix_E.qmd","5f600e0d09fac45f2a2a1bae10615dcfaceab736866f127aa54acd0353fd400b","62-78","101-128","141-154","gen_priorG_mixture; gen_nj_se2j_vec_gamma; gen_tau_j_hat","/Users/joonholee/Documents/00_IES Multisite Trial Project/multisiteDGP-R-package/tools/jebs-golden-fixtures/generate-jebs-golden-fixtures.R","site_index,z_j,tau_j,n_j,se2_j,se_j,tau_j_hat","xxhash64","multisiteDGP-canonical-hash-v4","Mersenne-Twister/Inversion/Rejection","generator-pinned","bdb574f04efb50df6b2546078936cdd8471551a4a200e629b2d198c421372219","9f09f479696b462d","a434ea06eb945d19","77ccbae2a40cf793","5fd08a6c096d90c2","fd0dbf6f45207491de5c06af2a127cdc72768055c7a486df65d9dd4fa3a67e3d","R version 4.6.0 (2026-04-24)","aarch64-apple-darwin23","digest=0.6.39; tibble=3.3.1; withr=3.0.3","portable schema-v4 canonical numerical hash; binary SHA verifies only the generated artifact"
"F04",12345,"jebs_appendix_mixture_seed12345.rds","JEBS appendix A1 mixture package-normalized",100,0,0.15,"Mixture",5,0.3,2,80,0.5,5,0.5,0,"A1_legacy","none","manifest-hash-recorded","single_stream_package_T1a","stage_reset_seed_2562_before_each_stage","runif(J) -> rnorm(J) component_1 -> rnorm(J) component_2 -> rgamma(J) -> sample.int(J) shuffle -> rnorm(1) repeated J times","paper and JEBS appendix lower limit: n_j = 5","/Users/joonholee/Documents/00_IES Multisite Trial Project/dev/Bayes-deconvolution/posts/2024-01-21_JEBS_Software_Appendix/2024-01-21_JEBS_Software_Appendix_E.qmd","5f600e0d09fac45f2a2a1bae10615dcfaceab736866f127aa54acd0353fd400b","62-78","101-128","141-154","gen_priorG_mixture; gen_nj_se2j_vec_gamma; gen_tau_j_hat","/Users/joonholee/Documents/00_IES Multisite Trial Project/multisiteDGP-R-package/tools/jebs-golden-fixtures/generate-jebs-golden-fixtures.R","site_index,z_j,tau_j,n_j,se2_j,se_j,tau_j_hat","xxhash64","multisiteDGP-canonical-hash-v4","Mersenne-Twister/Inversion/Rejection","generator-pinned","bdb574f04efb50df6b2546078936cdd8471551a4a200e629b2d198c421372219","49f7edb56d00f738","78c4f85db1e3023c","bbffaa3f02cd1e6c","52452ee14c86f6cf","88b5e872fbdd509217335af3bf31313806c1899911736dbefef16c0e935d0c30","R version 4.6.0 (2026-04-24)","aarch64-apple-darwin23","digest=0.6.39; tibble=3.3.1; withr=3.0.3","portable schema-v4 canonical numerical hash; binary SHA verifies only the generated artifact"
"F10",42,"jebs_appendix_floor_active_seed42.rds","JEBS appendix A1 mixture floor-active authority",300,0,0.15,"Mixture",5,0.3,2,10,0.75,5,0.5,0,"A1_legacy","none","manifest-hash-recorded","single_stream_package_T1a","stage_reset_seed_2562_before_each_stage","runif(J) -> rnorm(J) component_1 -> rnorm(J) component_2 -> rgamma(J) -> sample.int(J) shuffle -> rnorm(1) repeated J times","paper and JEBS appendix lower limit: n_j = 5","/Users/joonholee/Documents/00_IES Multisite Trial Project/dev/Bayes-deconvolution/posts/2024-01-21_JEBS_Software_Appendix/2024-01-21_JEBS_Software_Appendix_E.qmd","5f600e0d09fac45f2a2a1bae10615dcfaceab736866f127aa54acd0353fd400b","62-78","101-128","141-154","gen_priorG_mixture; gen_nj_se2j_vec_gamma; gen_tau_j_hat","/Users/joonholee/Documents/00_IES Multisite Trial Project/multisiteDGP-R-package/tools/jebs-golden-fixtures/generate-jebs-golden-fixtures.R","site_index,z_j,tau_j,n_j,se2_j,se_j,tau_j_hat","xxhash64","multisiteDGP-canonical-hash-v4","Mersenne-Twister/Inversion/Rejection","generator-pinned","bdb574f04efb50df6b2546078936cdd8471551a4a200e629b2d198c421372219","24754620d93646f5","20235b762ee2bc3c","f187bc9c9ec96906","bb408a704f3555ff","4544dc2a4cc3c527f447dfdd8746179dd88109dcbc2eb9567fa1f29e02b615a5","R version 4.6.0 (2026-04-24)","aarch64-apple-darwin23","digest=0.6.39; tibble=3.3.1; withr=3.0.3","portable schema-v4 canonical numerical hash; binary SHA verifies only the generated artifact"
