"package","role","version","status"
"R","Depends",NA,"MISSING"
"stats","Imports","4.6.0","ok"
"tibble","Imports","3.3.1","ok"
"dplyr","Imports","1.2.1","ok"
"tidyr","Imports","1.3.2","ok"
"withr","Imports","3.0.2","ok"
"cli","Imports","3.6.6","ok"
"rlang","Imports","1.2.0","ok"
"nleqslv","Imports","3.3.7","ok"
"ggplot2","Imports","4.0.3","ok"
"digest","Imports","0.6.39","ok"
"RColorBrewer","Imports","1.1.3","ok"
"viridisLite","Imports","0.4.3","ok"
"sn","Suggests","2.1.3","ok"
"LaplacesDemon","Suggests","16.1.8","ok"
"copula","Suggests","1.1.7","ok"
"metafor","Suggests","5.0.1","ok"
"baggr","Suggests","0.8","ok"
"multisitepower","Suggests",NA,"MISSING"
"deconvolveR","Suggests","1.2.1","ok"
"furrr","Suggests","0.4.0","ok"
"yaml","Suggests","2.3.12","ok"
"arrow","Suggests","24.0.0","ok"
"moments","Suggests","0.14.1","ok"
"hedgehog","Suggests","0.2","ok"
"testthat","Suggests","3.3.2","ok"
"knitr","Suggests","1.51","ok"
"rmarkdown","Suggests","2.31","ok"
"covr","Suggests","3.6.5","ok"
"gridExtra","Suggests","2.3","ok"
"patchwork","Suggests","1.3.2","ok"
"devtools","DevTool","2.5.2","ok"
"roxygen2","DevTool","8.0.0","ok"
"pkgdown","DevTool","2.2.0","ok"
"lintr","DevTool","3.3.0.1","ok"
"cyclocomp","DevTool","1.1.2","ok"
"quarto","DevTool","1.5.1","ok"
